"hill0","hill1","hill2","Nu","M","Jm","Sm","J","timesteps"
416,37.5695873193185,3.86473429951704,0.403364004660398,0.375734129268676,10000,1000,1000,1000
383,28.9422382283826,3.35960544793629,0.467085022805259,0.322954642027616,10000,1000,1000,1000
303,16.0769869323267,2.56443133735098,0.30484737935476,0.294837746350095,10000,1000,1000,1000
221,8.99731029247644,2.03866117043617,0.199204820534214,0.256792806135491,10000,1000,1000,1000
195,8.76021849927046,2.06733731089033,0.0892396168783307,0.249993210704997,10000,1000,1000,1000
373,26.680427774444,3.23955890166004,0.421065853955224,0.225374890258536,10000,1000,1000,1000
343,26.4854800050009,3.32133225279332,0.277344568725675,0.448273828346282,10000,1000,1000,1000
393,27.989172594392,3.26370757180166,0.575907648308203,0.00200016894377768,10000,1000,1000,1000
383,31.1412154598243,3.53764407055485,0.368485585274175,0.466568330582231,10000,1000,1000,1000
252,11.1907403056422,2.21184131365682,0.241802191967145,0.181084623606876,10000,1000,1000,1000
139,5.30366395528005,1.715842718993,0.044886026205495,0.209395822137594,10000,1000,1000,1000
297,16.0165030537647,2.57253255539953,0.323018198367208,0.207688862364739,10000,1000,1000,1000
396,30.8792570493675,3.46020761245685,0.382990904152393,0.37872090744786,10000,1000,1000,1000
237,10.5106141118829,2.17276053571585,0.178571508452296,0.262733097653836,10000,1000,1000,1000
255,19.2120786191804,3.00480769230773,0.0759135075844824,0.516524904314429,10000,1000,1000,1000
402,32.6118959073244,3.56521491115496,0.46256404244341,0.379464835580438,10000,1000,1000,1000
244,9.42867434013827,2.0448225094062,0.334830772597343,0.026714628841728,10000,1000,1000,1000
139,3.91686967761426,1.50112734663732,0.184133622888476,0.0071823114529252,10000,1000,1000,1000
141,4.42409494131417,1.57725721279723,0.101698221825063,0.170278329402208,10000,1000,1000,1000
367,34.0190999537609,3.81746413492456,0.269058005232364,0.556711882911623,10000,1000,1000,1000
245,10.2881702334749,2.13509151002214,0.27802526447922,0.116181238833815,10000,1000,1000,1000
220,8.3815167370923,1.97621428486732,0.27105956193991,0.0462153336033225,10000,1000,1000,1000
318,17.3424844095559,2.63997127711255,0.423814164614305,0.0928920943289995,10000,1000,1000,1000
389,41.7389818136572,4.33997639052842,0.346421228908002,0.554940199479461,10000,1000,1000,1000
143,3.9174913836845,1.49749469138131,0.172584112454206,0.05763601642102,10000,1000,1000,1000
260,11.6208717741087,2.24500150415103,0.343632104666904,0.0377888903953135,10000,1000,1000,1000
404,31.4576921580166,3.47333175875638,0.561525929393247,0.0834183230996132,10000,1000,1000,1000
360,22.3979278722777,2.93732339343104,0.487433719821274,0.0541682086419314,10000,1000,1000,1000
93,2.56123839821119,1.31172313197508,0.146100606489927,0.00231146109290421,10000,1000,1000,1000
387,29.7258065727771,3.40915289368907,0.52038626675494,0.143322254391387,10000,1000,1000,1000
235,16.6696038403967,2.8348528144419,0.0210889980196953,0.52568462700583,10000,1000,1000,1000
304,29.1009113793383,3.73974375275811,0.174313365854323,0.578608174715191,10000,1000,1000,1000
215,10.7036456922889,2.25054913398871,0.079956012731418,0.341855209227651,10000,1000,1000,1000
414,33.2223287237838,3.56562170180004,0.56169096082449,0.185483815753832,10000,1000,1000,1000
271,17.4965972798603,2.79878420814002,0.142235772544518,0.412424966599792,10000,1000,1000,1000
405,41.3338185478915,4.21848370821591,0.348322177771479,0.479941974347457,10000,1000,1000,1000
321,22.7612520007077,3.09206946024841,0.285715647507459,0.367406006064266,10000,1000,1000,1000
333,22.8782748860037,3.06046249709262,0.245962106622756,0.377528612455353,10000,1000,1000,1000
331,25.1535172702095,3.27274393396917,0.273013096349314,0.472922584181651,10000,1000,1000,1000
302,23.3734520200422,3.2138839787884,0.180902734491974,0.538718879269436,10000,1000,1000,1000
431,40.2618976644375,3.98927682389749,0.491010880144313,0.48768492937088,10000,1000,1000,1000
350,28.7028525950535,3.48361655135905,0.35787714519538,0.409156232234091,10000,1000,1000,1000
156,5.0726506633479,1.65100959236572,0.140022674063221,0.103681681444868,10000,1000,1000,1000
52,1.77080535085214,1.17864761972113,0.0106158118229359,0.0764296390581876,10000,1000,1000,1000
155,6.84732572377502,1.91011751042923,0.000787038635462522,0.282988340361044,10000,1000,1000,1000
359,27.8454734500215,3.38281260571296,0.361969980876893,0.360355438571423,10000,1000,1000,1000
409,32.068142711586,3.49944008958578,0.491059181140736,0.348655776958913,10000,1000,1000,1000
378,35.4548246056321,3.87804329447545,0.331916302302852,0.513057997031137,10000,1000,1000,1000
356,20.7824116608628,2.82054030270045,0.510468847677112,0.15186520088464,10000,1000,1000,1000
442,43.1389241311547,4.15275493762561,0.520115536591038,0.478756247414276,10000,1000,1000,1000
368,26.441996295903,3.22801399666875,0.399031919287518,0.293124877335504,10000,1000,1000,1000
392,39.2190507074254,4.11647991569449,0.359810813795775,0.458154735574499,10000,1000,1000,1000
36,1.44826449475734,1.10792030064525,0.0187500366009772,0.0402428266592324,10000,1000,1000,1000
329,17.2647307960375,2.60637937415624,0.512655595410615,0.0199348701629788,10000,1000,1000,1000
262,11.7713255925854,2.25183637256185,0.308869096962735,0.14357767989859,10000,1000,1000,1000
355,32.4995587415658,3.82842529210896,0.28140566716902,0.585798465879634,10000,1000,1000,1000
473,54.4230059137355,4.7510903752411,0.538942476036027,0.458604774624109,10000,1000,1000,1000
369,33.1435409432892,3.75826819001813,0.317140952032059,0.47861269810237,10000,1000,1000,1000
312,15.5517051244676,2.50036255257017,0.442984270909801,0.00948154390789568,10000,1000,1000,1000
415,36.0405642075302,3.7609537778782,0.45572151155211,0.339006541902199,10000,1000,1000,1000
449,50.5292643236591,4.64753123140986,0.490954437246546,0.561580290226266,10000,1000,1000,1000
502,61.5861618602346,5.05510059650186,0.562382138567045,0.492790010338649,10000,1000,1000,1000
364,23.4986436683452,3.0191231258794,0.463881232542917,0.234029731666669,10000,1000,1000,1000
349,21.7870526241268,2.91715285880986,0.395041642896831,0.204253086866811,10000,1000,1000,1000
373,36.3495628469858,4.04753424213968,0.253653824748471,0.599564293725416,10000,1000,1000,1000
351,21.9118976879599,2.92704058634484,0.45283463280648,0.154429486161098,10000,1000,1000,1000
230,9.90690431151638,2.12245729615922,0.281217364780605,0.111705294577405,10000,1000,1000,1000
314,18.1985621025691,2.71857329273601,0.315349875809625,0.270620424672961,10000,1000,1000,1000
394,31.1054070085,3.48585093107089,0.509145312616602,0.243748544761911,10000,1000,1000,1000
132,3.26119821817405,1.40339453069083,0.113330579549074,0.107512895297259,10000,1000,1000,1000
412,39.9320483407781,4.0681827427688,0.448376072617248,0.435155815444887,10000,1000,1000,1000
148,4.69785762604487,1.61339244803262,0.120866263099015,0.158627238124609,10000,1000,1000,1000
354,25.1892162641501,3.17077810894801,0.375512460200116,0.331018629530445,10000,1000,1000,1000
246,10.0097938904954,2.10435939091424,0.311248850170523,0.0960699895396829,10000,1000,1000,1000
207,7.87167249638903,1.93259868815199,0.153389275074005,0.177779868571088,10000,1000,1000,1000
204,7.78226348663354,1.94287179766154,0.0924095607362688,0.269327388703823,10000,1000,1000,1000
133,3.70723178074267,1.47570981642169,0.177442318294197,0.0426451658830047,10000,1000,1000,1000
193,7.8978560987888,1.96479866708057,0.165652127377689,0.218847534712404,10000,1000,1000,1000
458,46.4022508777746,4.29188233375393,0.575293103931472,0.394447272643447,10000,1000,1000,1000
440,40.6153422471377,3.97386784505109,0.577353044785559,0.275441938592121,10000,1000,1000,1000
297,18.9888700955878,2.83786161451627,0.210932790627703,0.38885708344169,10000,1000,1000,1000
25,1.28581249615269,1.071554096337,0.0239638895262033,0.0117775512859225,10000,1000,1000,1000
251,15.7503208724213,2.68110890664382,0.133805550495163,0.373219116590917,10000,1000,1000,1000
334,26.1438679072793,3.3212219439777,0.308732554642484,0.388985525351018,10000,1000,1000,1000
353,21.5236018686267,2.88766965059204,0.519168898137286,0.0422669488471001,10000,1000,1000,1000
349,25.2096488186743,3.19313348575231,0.290857284050435,0.401174424123019,10000,1000,1000,1000
162,4.76405505686694,1.60143488565754,0.155622897483408,0.123300389153883,10000,1000,1000,1000
461,47.2284062226726,4.32776782391177,0.578438549023122,0.444912903662771,10000,1000,1000,1000
250,10.6081022802451,2.16020979957576,0.316400029649958,0.121292594494298,10000,1000,1000,1000
141,4.88173843571673,1.65065531015812,0.0105193686671555,0.257533436408266,10000,1000,1000,1000
399,39.9576137065328,4.13366623125382,0.38944765040651,0.435161902941763,10000,1000,1000,1000
236,8.7332825919266,1.98758949121682,0.319822578085586,0.0131325282622129,10000,1000,1000,1000
137,3.97747862059334,1.51219128614893,0.0757497175130993,0.109899443294853,10000,1000,1000,1000
418,36.9481847610626,3.81962216297577,0.435397138539702,0.371462708059698,10000,1000,1000,1000
426,46.2554809244233,4.45347014393615,0.42743031126447,0.532459109136835,10000,1000,1000,1000
124,4.03966103527825,1.53832427260336,0.0397535501047969,0.19409884843044,10000,1000,1000,1000
289,23.9301747802963,3.31875294539327,0.130176212685183,0.503547328105196,10000,1000,1000,1000
416,44.189277278254,4.37843707310238,0.395968075236306,0.527369375852868,10000,1000,1000,1000
392,34.8843269582128,3.78868244779206,0.379536877339706,0.444467168720439,10000,1000,1000,1000
246,17.3285600351546,2.8548100694861,0.0753619516734034,0.490881800511852,10000,1000,1000,1000
348,33.0847854157174,3.86010962711351,0.208122255094349,0.586906687030569,10000,1000,1000,1000
149,4.33269369057931,1.55390013394618,0.0508389907423407,0.249554236186668,10000,1000,1000,1000
240,9.89586824996071,2.11019434889955,0.290417413506657,0.0978384368587285,10000,1000,1000,1000
